,UK_B,US_B,JP_B,GE_B,CNY_FX,EUR_FX,GBP_FX,JPY_FX,GOLDS_C,EPRA_X,MXWD_X,NKY_X,SHCOMP_X,SPX_X,SX5E_X,UKX_X,ETH,LTC,DASH,XRP,BTC
2015-08-10,112.3018,110.1846,103.6421,113.7097,0.16102,1.1019,1.5592,0.008024,1104.51,2547.65698,426.35,167.04416,632.6256099999998,2104.18,4051.62134,10505.13477,1.4,3.8860123,3.1045947,0.00550829,266.21932999999996
2015-08-11,113.2849,111.1066,103.6838,114.4819,0.15809,1.1042,1.5572,0.007993,1108.95,2521.26831,422.21,165.59378,621.12115,2084.07,3972.65796,10377.35547,1.1,3.8860123,3.165552,0.00550829,269.25604
2015-08-12,113.7332,111.0041,104.0913,114.8388,0.15659,1.1159,1.5613,0.008051,1124.47,2516.3642600000007,419.87,164.51089,608.60681,2086.05,3893.82813,10281.28418,1.38,3.8274178999999995,3.1632118,0.00550829,265.41317999999995
2015-08-13,113.1518,110.635,103.8784,114.4849,0.15625999999999998,1.115,1.5611,0.008037,1115.1,2548.94849,419.8,165.54578,617.93799,2083.39,3916.6394,10251.19238,2.15,3.8123066,3.0101979,0.00550829,263.0
2015-08-14,112.7997,110.5235,103.8795,114.2213,0.15648,1.1109,1.5642,0.008043999999999999,1115.07,2576.97412,420.29,165.21296999999996,620.16498,2091.54,3888.6582,10251.25293,2.15,3.8123066,3.0101979,0.00550829,265.0
2015-08-17,113.2041,110.7766,103.7283,114.4773,0.15635,1.1078,1.5586,0.008039,1117.7,2575.49072,421.0,165.81104,624.38129,2102.44,3875.32349,10211.2627,1.34,4.75,4.0,0.00550829,262.11752
2015-08-18,112.7292,110.4874,103.9223,114.28,0.1564,1.1024,1.5661,0.008038,1117.71,2581.56299,419.63,165.26871,586.09015,2096.92,3855.75366,10215.60156,1.52,3.7658562999999994,3.0,0.00815,251.0
2015-08-19,112.8881,111.2149,103.9234,114.3481,0.15631,1.112,1.568,0.008076999999999999,1133.88,2556.65381,415.31,162.99371000000005,592.89441,2079.61,3792.71704,10018.83789,1.3,2.7375,2.1,0.00815,227.0
2015-08-20,113.9098,111.6097,104.0772,115.06,0.15654,1.1242,1.569,0.008103,1152.2,2544.13867,408.57,162.28044,573.45038,2035.73,3753.8855,9984.85156,1.5,2.2,2.1,0.00815,234.0
2015-08-21,114.4137,111.9465,104.1292,114.9501,0.15657,1.1386,1.5694,0.008193,1160.77,2514.66064,397.64,159.51928999999996,549.10596,1970.89,3689.53687,9721.41699,1.5,3.8587267,2.8356063,0.00815,233.13
